No	TELEX	QNC	CHUNOM	ENG
15720	nhij vieenj chees	nhị viện chế	二院制	(chính trị) Bicameralism
15721	nhims	nhím		Porcupine
15722	nhims bieenr	nhím biển	？𤅶	(động vaật) Sea urchin
15723	nhinf	nhìn	𥆾	to look (at)
15724	nhinf chungz	nhìn chung	𥆾終	On the whole, as a whole
15725	nhinf nhaanj	nhìn nhận	𥆾認	to acknowledge; to recognize; to admit
15726	nhinf nhos	nhìn nhó	𥆾？	Look after
15727	nhinf nooir	nhìn nổi	𥆾浽	Stereoscopic
15728	nhinf thaaus	nhìn thấu	𥆾？	seethrough
15729	nhinf thaays	nhìn thấy	𥆾𧡊	to see
15730	nhinhr	nhỉnh		better ; bigger
15731	nhinhz nhinhr	nhinh nhỉnh		xem nhỉnh (láy)
15732	nhinj	nhịn		Endure | Go without, suppress
15733	nhinj ddois	nhịn đói	？𩟡	to abstain from food
15734	nhinj nhucj	nhịn nhục	？辱	to digest an insult
15735	nhins	nhín		(địa phương) Lay by part of, save
15736	nhipj	nhịp		rhythm; cadence; measure; time | span | to drum
15737	nhipj ddieeuj	nhịp điệu		Rhythm | như nhịp_độ
15738	nhipj ddooj	nhịp độ	？度	Rate, speed
15739	nhipj nhangf	nhịp nhàng		Well | balanced, harmonious, in harmony | The plans of the various branches of activityare fulfiled in a harmonious way | Rythmic[al]
15740	nhips	nhíp		tweezers | to extract with tweezers
15741	nhir	nhỉ		Inn't it, doesn't it.. | Don't you think so
15742	nhis	nhí		(slang) betty, little
15743	nhis nhanhr	nhí nhảnh		joyful, playful
15744	nhis nhays	nhí nháy		Fidget
15745	nhis nhaz nhis nhanhr	nhí nha nhí nhảnh		xem nhí nhảnh (láy)
15746	nhis nhaz nhis nhoenr	nhí nha nhí nhoẻn		xem nhí nhoẻn (láy)
15747	nhis nheos	nhí nhéo		Yell
15748	nhis nhoenr	nhí nhoẻn		Smile playfully
15749	nhis nhoos	nhí nhố		Higgledy | piggledy; at sixes and sevens
15750	nhiuj	nhịu		cũng nói nói nhịu Say one word for another, make a slip of the tongue
15751	nhiuj moomf	nhịu mồm	？𠵘	
15752	nhius	nhíu		Knit (the brows) | Stitch summarily
15753	nhix	nhĩ	爾|耳|你	ear
15754	nhix mucj	nhĩ mục	耳目	(ít dùng) Ear and eye
15755	nhiz	nhi	兒|而	nhi khoa (nói tắt)
15756	nhiz ddoongf	nhi đồng	兒童	young child
15757	nhiz khoaz	nhi khoa	兒科	paediatrics
15758	nhiz nhis	nhi nhí		Whisper uninter lligibly
15759	nhiz nuwx	nhi nữ	兒女	(cũ) The weaker sex
15760	nhoaf	nhoà		Be dimmed, be obscured | Fade
15761	nhoaif	nhoài		Be dead tired, be faint with exhaustion
15762	nhoaiz	nhoai		Strive to come up (from water)
15763	nhoangs	nhoáng		Flash
15764	nhoayz nhoays	nhoay nhoáy		xem nhoáy (láy)
15765	nhocj	nhọc		Tire, tiring
15766	nhocj longf	nhọc lòng	？𢚸	Worry; be anxious
15767	nhocj nhawnf	nhọc nhằn		tired; fatigued
15768	nhocj ocs	nhọc óc	？腛	Tire one's mind
15769	nhocs	nhóc		Brat
15770	nhoef	nhoè		Blur
15771	nhoef nhoetj	nhoè nhoẹt		xem nhòe
15772	nhoenz nhoenr	nhoen nhoẻn		xem nhoẻn
15773	nhoez'	nhoe'		Sudden scream | nhoe nhóe (láy, ý tăng)
15774	nhoez nhoes	nhoe nhóe		xem nhóe (láy)
15775	nhoez nhoets	nhoe nhoét		Messily pulpy, messy
15776	nhois	nhói		Feeling stinging pain
15777	nhoiz	nhoi		Emerge
15778	nhoiz nhois	nhoi nhói		xem nhói (láy)
15779	nhoj	nhọ		Soot | Sooty, soot | smeared
15780	nhoj nhemz	nhọ nhem		như lọ lem Smeared
15781	nhoj nooif	nhọ nồi	？㘨	Soot
15782	nhomf	nhòm		Peep
15783	nhomf nhor	nhòm nhỏ	？𡮈	Pry into, pry about
15784	nhomr	nhỏm		Sit up suddenly
15785	nhomr nhemr	nhỏm nhẻm		Munch slowly
15786	nhoms	nhóm	𡖡	to gather; to group; to collect | group
15787	nhoms hopj	nhóm họp	𡖡？	Gather, convene, meet
15788	nhoms maus	nhóm máu	𡖡𧖱	(y học) Blood group
15789	nhoms truwowngr	nhóm trưởng	𡖡長	group leader
15790	nhoms vieenz	nhóm viên	𡖡員	Group member
15791	nhomz	nhom		Like a lath, like a water
15792	nhomz nhemz	nhom nhem		Have a smattering of
15793	nhongf	nhòng		Lank, lanky | (cũ) Generation, age | group
15794	nhongr nhanhr	nhỏng nhảnh		Behave in a flirtatious manner, have flirtatious manner
15795	nhongr nhaz nhongr nhanhr	nhỏng nha nhỏng nhảnh		xem nhỏng nhảnh
15796	nhongz nhongs	nhong nhóng		Wait for long on tiptoe
15797	nhongz nhongz	nhong nhong		Tintinnabulation, tinkling of a horse | harness bells
15798	nhonj	nhọn		sharp; pointed; acute
15799	nhonj hoawts	nhọn hoắt		Very sharp | pointed
15800	nhons	nhón		Pinch | Tiptoe
15801	nhons gots	nhón gót	？𨃴	
15802	nhons nhens	nhón nhén		(địa phương)
15803	nhonx	nhõn		Only one left
15804	nhonz nhenz	nhon nhen		Peck at
15805	nhonz nhonr	nhon nhỏn		Kight | footed
15806	nhooif	nhồi		Stuff, cram, line, fill | Overfeed (poultry). | (địa phương) như nhào
15807	nhooif bootj	nhồi bột		to knead flour
15808	nhooif maus	nhồi máu	？𧖱	(y học) Infact
15809	nhooif nhets	nhồi nhét		Cram, fill (one's stomach)
15810	nhooif soj	nhồi sọ		to stuff (sb's head)
15811	nhooij	nhội		(thực vật) Bischofia
15812	nhooiz	nhôi		xem nôi
15813	nhoomf nhamf	nhồm nhàm		cũng nói nhồm nhoàm Munch piggidhly
15814	nhoomf nhoamf	nhồm nhoàm		như nhồm nhàm
15815	nhoomr	nhổm		như nhỏm
15816	nhoomz	nhôm		aluminium; (US) aluminum
15817	nhoomz nhamz	nhôm nham		Smeared, dirty
15818	nhoonf nhootj	nhồn nhột		xem nhột (láy)
15819	nhoongf	nhồng		(chim) rackle
15820	nhoongj	nhộng		pupa
15821	nhoongz	nhông		agama
15822	nhoongz nhoongz	nhông nhông		Wander idly about, loiter about
15823	nhoonj	nhộn		to bustle ; to be disturbed
15824	nhoonj nhangf	nhộn nhàng		Bustling
15825	nhoonj nhaoj	nhộn nhạo		Be in a stir, be alarmed | Feel upset
15826	nhoonj nhipj	nhộn nhịp		bustling
15827	nhoons nhaos	nhốn nháo		[Be] helter | skelter, [be] in a pandemonium
15828	nhoonz nhaoz	nhôn nhao		(ít dùng) Be all in a stir, be agog
15829	nhoonz nhoots	nhôn nhốt		Somethat sour,sourish, somewhat acid
15830	nhoor	nhổ		Spit | Pull up, pull out, extract
15831	nhoor cor	nhổ cỏ	？𦹵	to pluck up weeds
15832	nhoor neoz	nhổ neo		Weigh anchor
15833	nhoor rawngz	nhổ răng	？𪘵	to draw a tooth; to take out a tooth
15834	nhoor saof	nhổ sào	？樔	Unmoor
15835	nhoor traij	nhổ trại		Strike (break up) camp
15836	nhoos nhawngz	nhố nhăng		(địa phương) như lố lăng
15837	nhootj	nhột		tickled
15838	nhoots	nhốt		to shut up; to confine; to impound
15839	nhooz	nhô		Just out, protrude, project
15840	nhops nheps	nhóp nhép		Munching noise
15841	nhor	nhỏ	𡮈|㳶	small; little; petty; young
15842	nhor bes	nhỏ bé	𡮈𡮣	Small, diminutive
15843	nhor conz	nhỏ con	𡮈𡥵	Of a small stature
15844	nhor daij	nhỏ dại	𡮈？	Too young
15845	nhor daix	nhỏ dãi	㳶？	Thèm nhỏ dãi | To have one's mouth watering
15846	nhor giotj	nhỏ giọt	㳶湥	In drops, by drop
15847	nhor hepj	nhỏ hẹp	𡮈？	Narrow
15848	nhor luwar	nhỏ lửa	𡮈焒	[Over] a low fire
15849	nhor monj	nhỏ mọn	𡮈？	Maen, mean | mindled, humble, negligible
15850	nhor nguwowif	nhỏ người	𡮈𠊛	Pretty little, slender
15851	nhor nhawtj	nhỏ nhặt	𡮈？	mean, trifling, trivial
15852	nhor nhej	nhỏ nhẹ	𡮈？	soft; gently; mild
15853	nhor nhenz	nhỏ nhen	𡮈？	mean
15854	nhor nher	nhỏ nhẻ	𡮈？	timorous, shy
15855	nhor nhoiz	nhỏ nhoi	𡮈？	Small, little, humble
15856	nhor tis	nhỏ tí	𡮈？	Very small, tiny
15857	nhor toz	nhỏ to	𡮈𡚢	Coo
15858	nhor tuooir	nhỏ tuổi	𡮈𢆫	Still very young in age
15859	nhor xius	nhỏ xíu	𡮈？	Very small, diminutive
15860	nhor yeeus	nhỏ yếu	𡮈？	Small and weak
15861	nhotj	nhọt		Boil
15862	nhots	nhót		Oleaster (cây). | (thông tục) Pinch, steal | (khẩu ngữ) Steal away; give the slip; slink out
15863	nhowf	nhờ	𢘾	to commision. to be dependent on
15864	nhowf caayj	nhờ cậy	𢘾？	Depend on someone for
15865	nhowf nhowf	nhờ nhờ	𢘾𢘾	xem nhờ
15866	nhowf nhowj	nhờ nhợ	𢘾？	xem nhợ (láy)
15867	nhowf nhowx	nhờ nhỡ	𢘾？	xem nhỡ (láy)
15868	nhowf trowif	nhờ trời	𢘾𡗶	Thank heaven!
15869	nhowf var	nhờ vả	𢘾？	Depend on (somebody) for help
15870	nhowif	nhời		(địa phương) như lời
15871	nhowir	nhởi		(địa phương) Frolic, grambol
15872	nhowiz	nhơi		(địa phương) Chew the cud (nói về trâu bò)
15873	nhowj	nhợ		String, fine cord | (cũng nói lợ) Sweetish | nhờ nhợ (láy,ý giảm)
15874	nhowmz nhowps	nhơm nhớp		xem nhớp (láy)
15875	nhowmz nhowr	nhơm nhở		như nham nhở
15876	nhownf	nhờn		Greasy
15877	nhownf nhowtj	nhờn nhợt		xem nhợt (láy)
15878	nhownr	nhởn		(địa phương) Play away one's time
15879	nhowns	nhớn		(địa phương) như lớn
15880	nhowns nhacs	nhớn nhác		Look around in bewilderment
15881	nhowns nhaz nhowns nhacs	nhớn nha nhớn nhác		xem nhớn nhác (láy)
15882	nhownx	nhỡn		như nhãn
15883	nhownz	nhơn		(địa phương) như nhân nhơn nhơn | Put on a brazen face
15884	nhownz nhowts	nhơn nhớt		xem nhớt (láy)
15885	nhows	nhớ	𢖵	to remember; to recall; to call in mind
15886	nhows chuwngf	nhớ chừng	𢖵澄	Remember vaguely, remember approximately
15887	nhows ddowif	nhớ đời	𢖵𠁀	Remember (something) all one's life
15888	nhows laij	nhớ lại	𢖵吏	Reminisce
15889	nhows mongz	nhớ mong	𢖵懞	Long to see
15890	nhows nhaf	nhớ nhà	𢖵茹	homesick; to be sick for home
15891	nhows nhungz	nhớ nhung	𢖵？	Have a fond remembrance (of someone, of some place)
15892	nhows raz	nhớ ra	𢖵𠚢	Recollect, recall
15893	nhows thuwowngz	nhớ thương	𢖵傷	Long fondly to see, grieve for
15894	nhows tieecs	nhớ tiếc	𢖵惜	Think with deep regret of
15895	nhowtj	nhợt		Pale
15896	nhowtj nhatj	nhợt nhạt		Very pale
15897	nhowts	nhớt		motor oil | slimy; viscous
15898	nhowts kees	nhớt kế		(vật lý) Viscometer,viscosimeter
15899	nhowts nhats	nhớt nhát	？㦉	Slimy
15900	nhowts nhowtj	nhớt nhợt		Very slimy, very viscous
15901	nhowx	nhỡ		Of medium size, medium | sized | nhờ nhỡ (láy) | To miss | như lỡ
15902	nhowx nhangf	nhỡ nhàng		như lỡ làng
15903	nhowz	nhơ		dirty; filthy
15904	nhowz baanr	nhơ bẩn		Filthy, dirty unclean
15905	nhowz danhz	nhơ danh	？名	sully, smear (someone's) name
15906	nhowz ddowif	nhơ đời	？𠁀	Shameful
15907	nhowz nhowps	nhơ nhớp		Filthy, mucky
15908	nhowz nhows	nhơ nhớ	？𢖵	xem nhớ (láy)
15909	nhowz nhuoocs	nhơ nhuốc		dishonoured; disgraceful
15910	nhoz	nho	儒	grapes
15911	nhoz giaos	nho giáo	儒教	confuciannism
15912	nhoz giaz	nho gia	儒家	confucianist
15913	nhoz hocj	nho học	儒學	confucianism
15914	nhoz laamz	nho lâm	儒林	Confucianist circles, Confucian scholardom
15915	nhoz laij	nho lại	儒吏	(cũ) Clerk
15916	nhoz nhax	nho nhã	儒雅	refined; cultured; elegant
15917	nhoz nhoez	nho nhoe		Have pretensions tọ
15918	nhoz nhor	nho nhỏ	？𡮈	somewhat little, tinyish
15919	nhoz phongz	nho phong	儒風	Confucian scholar's manners
15920	nhoz sinhz	nho sinh	儒生	(cũ) Student
15921	nhoz six	nho sĩ	儒士	confucian scholar
15922	nhuaanj trangf	nhuận tràng	潤腸	Laxative, aperient
15923	nhuaanj truwowngf	nhuận trường	潤腸	(Med) laxative ; aperient
15924	nhucj	nhục	肉|辱	to be disgraced; dishonoured | oflesh
15925	nhucj ddaauj khaaus	nhục đậu khấu	肉豆蔻	nutmeg
15926	nhucj ducj	nhục dục	肉欲	carnal; fleshy; sexual; concupiscence
15927	nhucj hinhf	nhục hình	肉刑	corporal punishment
15928	nhucj maj	nhục mạ	辱罵	to insult, to abuse
15929	nhucj nhawnf	nhục nhằn	辱？	Humiliatory
15930	nhucj nhax	nhục nhã	辱雅	disgraceful; ignominious; shameful
15931	nhucj theer	nhục thể	肉體	body, flesh
15932	nhueej binhz	nhuệ binh	銳兵	(cũ) Well | trained men
15933	nhueej khis	nhuệ khí	銳氣	ardent; zealous
15934	nhuees nhoas	nhuế nhóa		Perfunctorily, by halves
15935	nhuir	nhủi		Rake net | Fish with a rake | net | Grout; remove with its snout (of a pig) | Creep
15936	nhuis	nhúi		(địa phương) như giúi
15937	nhuiz	nhui		Push in
15938	nhungf nhawngf	nhùng nhằng		Dilly | dally, shilly | shally
15939	nhungr nhawngr	nhủng nhẳng		Refuse to listen tọ
15940	nhungs	nhúng		to steep; to soak; to dip; to immerse
15941	nhungs maus	nhúng máu	？𧖱	Blood stained
15942	nhungs tayz	nhúng tay	？𢬣	Have a hand in, bear a hand in
15943	nhungx	nhũng	冗	Worry, harass, trouble
15944	nhungx lamj	nhũng lạm	冗濫	Harass and take bribe
15945	nhungx nhawngx	nhũng nhẵng	冗？	Hang on
15946	nhungx nhieeux	nhũng nhiễu	冗擾	Harass, pester
15947	nhungz	nhung	絨|茸	velvet | young antler
15948	nhungz ker	nhung kẻ		Corduroy
15949	nhungz nhawngz	nhung nhăng		Bustle about ineffciently
15950	nhungz nhucs	nhung nhúc		như lúc nhúc
15951	nhungz phucj	nhung phục		(cũ) (cũng nói nhung y) Combat uniform
15952	nhungz vair	nhung vải		Velveteen
15953	nhungz yz	nhung y		(cũ) như nhung phục
15954	nhunr	nhủn		Pulpy | Fain
15955	nhuns	nhún		Crouch, flex the legs | Shrug (xem nhún vai). | Modest
15956	nhuns nhuwowngf	nhún nhường		to be modest; humble
15957	nhuns vaiz	nhún vai	？𦠘	Shrug one's shoulders
15958	nhunx	nhũn		Courteous and modest | Very soft
15959	nhunx naox	nhũn não		(y học) Encephalomalacia
15960	nhunx nhawnj	nhũn nhặn		Modest and courteous
15961	nhunx nhunf	nhũn nhùn		xem nhũn (láy)
15962	nhunx xuwowngz	nhũn xương	？𩩫	(y học) Osteomalacia
15963	nhuoocs	nhuốc		Sullying, discrediting
15964	nhuoocs nhowz	nhuốc nhơ		như nhơ nhuốc
15965	nhuoomj	nhuộm		to dye
15966	nhuooms	nhuốm		Tint. | The years had tinted half of his hair grey
15967	nhuooms beenhj	nhuốm bệnh	？病	Begin to catch (to contract) a disease
15968	nhur	nhủ		Instruct carefully | (địa phương) Tell,say
15969	nhus	nhú		Begin to show, sprout
15970	nhutj	nhụt		Blunt | Get damped, get dampened, weaken
15971	nhuts	nhút		(địa phương) Salad of salted bits of jack fruit..
15972	nhuts nhats	nhút nhát	？㦉	Timid, shy
15973	nhuwaj	nhựa		(Bot) resin; gum; asphalt
15974	nhuwaj kets	nhựa két		Gutta | percha
15975	nhuwaj soongs	nhựa sống	？𤯩	sap; vigour; energy
15976	nhuwaj thoongz	nhựa thông		Pine resin
15977	nhuwcs	nhức		to ache; smarting
15978	nhuwcs nhois	nhức nhói		như nhức nhối
15979	nhuwcs nhoois	nhức nhối		Fell a lasting sting smart
15980	nhuwcs ocs	nhức óc	？腛	Fell a head | splitting pain
15981	nhuwcs rawngz	nhức răng	？𪘵	toothache
15982	nhuwf	nhừ	𤈟	Be well | cooked, be well | done | Feel a pervasive pain (numbness...)
15983	nhuwf ddonf	nhừ đòn	𤈟杶	Get a sound beating
15984	nhuwf tuwr	nhừ tử	𤈟死	Half | dead within an inch of one's life
15985	nhuwngx	những		Certain number of, some | As much as, as many as | (chỉ số nhiều, không dịch) | Nothing but | Frequently, usually
15986	nhuwngx aiz	những ai		Any
15987	nhuwngx laf	những là	？𪜀	Repeatedly. | (Nguyễn Du) One wished and hoped repeatedly
15988	nhuwngx nhuwz	những như	？如	As for, as far as... is concerned
15989	nhuwngz	nhưng	扔|仍	but; yet
15990	nhuwngz maf	nhưng mà	？𦓡	But
15991	nhuwngz nhuwcs	nhưng nhức		xem nhức (láy)
15992	nhuwowcj	nhược	若|弱	Tire, get tired, get weary | Spend much energy
15993	nhuwowcj bawngf	nhược bằng	若憑	If, in case
15994	nhuwowcj ddieemr	nhược điểm	弱點	weak | point;
15995	nhuwowcj tieeur	nhược tiểu	弱小	Weak, small and weak
15996	nhuwowngf	nhường		Be self | denying, show self | denial, yield, give up what is one's due | như dường
15997	nhuwowngf aays	nhường ấy	？𧘇	That much; that many
15998	nhuwowngf baoz	nhường bao	？包	How much, how many, how
15999	nhuwowngf buwowcs	nhường bước	？𨀈	Give way (to somebody)
16000	nhuwowngf laij	nhường lại	？吏	to cede; give up
16001	nhuwowngf lowif	nhường lời	？𠳒	Give [up] the floor
16002	nhuwowngf naof	nhường nào	？芇	How much, how very
16003	nhuwowngf ngooiz	nhường ngôi	？𡾵	Cede the throne, abdicade (in favour of)
16004	nhuwowngf nhinj	nhường nhịn		to make concessions
16005	nhuwowngj	nhượng	嚷|讓	Sell, cede
16006	nhuwowngj booj	nhượng bộ	讓步	to make concessions; to give in
16007	nhuwowngj ddiaj	nhượng địa	讓地	Territory conceded (to foreign country), connession
16008	nhuwr	nhử		to lure, to entice, to snare
16009	nhuws	nhứ	絮	Tantalize
16010	nhuwtj	nhựt		(địa phương) như nhật (trong các tổ hợp)
16011	nhuwts	nhứt		(địa phương) như nhất
16012	nhuwz	như	如	as | like | alike; similar tọ
16013	nhuwz aiz	như ai	如？	Like any other (person)
16014	nhuwz chowiz	như chơi	如𨔈	[Like] child's play
16015	nhuwz cux	như cũ	如𡳵	As before, as previously
16016	nhuwz heetj	như hệt	如？	As like as two peas
16017	nhuwz khoongz	như không	如空	As if nothing had happened
16018	nhuwz laf	như là	如𪜀	As if
16019	nhuwz nguyeenj	như nguyện	如願	(cũ) In accordance with one's wishes
16020	nhuwz nhauz	như nhau	如𠑬	Identical
16021	nhuwz quar	như quả	如果	If really
16022	nhuwz theer	như thể	如？	Like | As if, as though
16023	nhuwz thees	như thế	如？	like this; like that; thus; so; such
16024	nhuwz treenz	như trên	如𨕭	Idem, ditto
16025	nhuwz tuoongf	như tuồng	如？	It seems
16026	nhuwz vaayf	như vầy	如？	like this
16027	nhuwz vaayj	như vậy	如？	like that ;
16028	nhuwz ys	như ý	如意	One's liking
16029	nhux ddas	nhũ đá	乳？	như thạch nhũ
16030	nhux dichj	nhũ dịch	乳液	(Bot) latex
16031	nhux huwowngz	nhũ hương	乳香	Frankincense
16032	nhux maaux	nhũ mẫu	乳母	Wet nurse
16033	nhux tuwowngz	nhũ tương	乳漿	emulsion
16034	nhuyeenx	nhuyễn	軟	Well | kneaded | Soft and smooth
16035	nhuyj	nhụy		(thực vật) Pistil
16036	nhuz	nhu	柔|揉|需	(kết hợp hạn chế) Flexible, pliant
16037	nhuz caauf	nhu cầu	需求	need; want; demand; requirement
16038	nhuz ddaoj	nhu đạo	柔道	Judo
16039	nhuz ddoongj	nhu động	蠕動	peristaltic
16040	nhuz mif	nhu mì	柔？	modest; humble; gentle
16041	nhuz nhus	nhu nhú		xem nhú (láy)
16042	nhuz nhuwowcj	nhu nhược	柔弱	feeble; faint; weak
16043	nhuz phis	nhu phí	需費	(ít dùng) Costs
16044	nhuz thuaatj	nhu thuật	柔術	Jiu | jitsu, ju | jitsu
16045	nhuz yeeus	nhu yếu	需要	Of prime necessity, necessary
16046	nhuz yeeus phaamr	nhu yếu phẩm	需要品	Necessities, necessaries
16047	niax	nĩa		fork
16048	niaz	nia		large and flat basket
16049	nichj	nịch	溺	As iron, as deal board | nình nịch (láy, ý tăng)
16050	nichs	ních		to cram, to stuff. to line. to pack
16051	nieemf	niềm		(dùng trước danh từ chỉ tâm trạng, hàm ý tích cực, không dịch)
16052	nieemf nowr	niềm nở		warm
16053	nieemf taayz	niềm tây		Inmost feelings, personal considerations
16054	nieemj	niệm	念	Pray under one's breath (in a whisper)
16055	nieemz	niêm	拈|黏|粘	seal
16056	nieemz dichj	niêm dịch	黏液	(sinh vật) Mucus
16057	nieemz luaatj	niêm luật	粘律	prosody
16058	nieemz macj	niêm mạc	黏膜	(sinh vaật) Mucous membrane
16059	nieemz phongz	niêm phong	粘封	to seal
16060	nieemz yeets	niêm yết	粘？	to post a bill
16061	nieenf	niền		Hoop (put round a barrel...) | Rim (of a wheel)
16062	nieengf nieengx	niềng niễng		xem cà niễng
16063	nieengx	niễng		xem cà niễng | (thông tục) củ niễng Zizania
16064	nieenz	niên	年|撚	year
16065	nieenz bieeur	niên biểu	年表	Chronicle, chronology, choronological table
16066	nieenz canhz	niên canh	年庚	Birth date
16067	nieenz ddaij	niên đại	年代	age, date ; erạ
16068	nieenz ddaij hocj	niên đại học	年代學	Chronology
16069	nieenz giams	niên giám	年鑒	year book
16070	nieenz hieeuj	niên hiệu	年號	Name of a reign's years
16071	nieenz hocj	niên học	年學	(ít dùng) như năm học
16072	nieenz khoas	niên khóa	年課	School year, academic year
16073	nieenz kimz	niên kim	年金	Annuity
16074	nieenz lichj	niên lịch	年歷	Almanach
16075	nieenz thieeus	niên thiếu	年少	Young, tender
16076	nieenz xir	niên xỉ	年齒	Age
16077	nieetj	niệt		Cord for cattle | Bind, fasten, tie fast
16078	nieets banf	niết bàn	涅槃	như nát bàn
16079	nieeuj	niệu	尿	Urinary
16080	nieeuz	niêu		Small [cooking | ]pot
16081	nieeuz thieeus	niêu thiếu		youth; flower of age
16082	nif	nì		(địa phương) Here
16083	ninhf nichj	nình nịch		xem nịch (láy)
16084	ninhj	nịnh	佞	Flatter, fawn on, fawn upon
16085	ninhj bowj	nịnh bợ	佞？	Toady (to somebody)
16086	ninhj ddaamf	nịnh đầm	佞？	(thông tục)Gallant
16087	ninhj hots	nịnh hót	佞？	to flatter; to adulate
16088	ninhj mawtj	nịnh mặt	佞𩈘	(khẩu ngữ) Flatterer (of a lookingglass)
16089	ninhj notj	nịnh nọt	佞？	như nịnh
16090	ninhj thaanf	nịnh thần	佞臣	Sycophantic courtier, sycophant
16091	ninhz	ninh	寧|擰	Simmer, stew
16092	ninhz giaz	ninh gia	寧家	(cũ) Pay a bridal visit to one's parents
16093	ninhz nichs	ninh ních		xem ních (láy)
16094	nins	nín		to be silent; to hold one's tongue
16095	nins bawtj	nín bặt		Stop short crying
16096	nins khocs	nín khóc		to stop crying; to leave off crying
16097	nins lawngj	nín lặng		Be silent, give no answer
16098	nins nhinj	nín nhịn		Contain oneself
16099	nins thinhz	nín thinh		Keep silent, give no answer
16100	nins thits	nín thít		To remain in patient silence
16101	nins tieengs	nín tiếng	？㗂	Keep mum, lie low
16102	nips	níp		(cũ) Trunk, case (for clothes, books...)
16103	nir	nỉ		wool; felt
16104	nir nonz	nỉ non	？𧀒	Coo confidences, have a heart | to | heart talk | Be full of melody, be harmonious
16105	nitj	nịt		Garter. | (địa phương) Belt | Belt | Fit tightly
16106	nitj vus	nịt vú		(địa phương) Brassiere
16107	nits	nít		Small wine | bottle
16108	nius	níu		động từ. to grab; to cling; to catch
16109	niz	ni	尼	(địa phương) This | Anh ni | This man | Now | Buddhist nun
16110	niz cooz	ni cô	尼姑	budhist nun
16111	niz loongz	ni lông	Nylon	nylon
16112	niz towz	ni tơ	Nitrogen	nitrogen
16113	noanx	noãn	卵|暖	(sinh vật) Ovule
16114	noanx baof	noãn bào	卵泡	(sinh vật) Oocyte
16115	nocj	nọc		venom; poison | stake; pile
16116	nocj coor	nọc cổ		như nọc
16117	nocj ddoocj	nọc độc		Venom, poison
16118	nocs	nóc		Roof | top, top | (đặt trước dt, chỉ một đơn vị nhà)
16119	nof	nò		Fish trap
16120	noif	nòi	㐻	Race | Pedigree[d] | (thông tục) Crack
16121	noif gioongs	nòi giống	㐻𥠭	Race
16122	noir	nỏi		Be better off
16123	nois	nói	呐	to speak; to talk; to say; to tell
16124	nois baayj	nói bậy	呐？	to talk nonsense
16125	nois baayr	nói bẩy	呐𠤩	Incite
16126	nois bemr	nói bẻm	呐？	Have the gift of the gab
16127	nois bongs	nói bóng	呐𩃳	Speak by hints, drop hints
16128	nois boongz	nói bông	呐葻	cũng nói nói bỡn Speak jestingly, crack jokes
16129	nois bownx	nói bỡn	呐？	nh nói bông
16130	nois buwaf	nói bừa	呐耚	Speak thoughtlessly
16131	nois canhj	nói cạnh	呐？	Speak by innuendoes; make oblique hints
16132	nois chocj	nói chọc	呐？	cũng nói nói tức Pin | prick
16133	nois chowiz	nói chơi	呐𨔈	như nói đùa
16134	nois chungz	nói chung	呐終	Generally speaking
16135	nois chuwx	nói chữ	呐𡨸	Use highbrow terms (when speaking)
16136	nois chuyeenj	nói chuyện	呐？	to talk
16137	nois cuwngs	nói cứng	呐？	Put on a bold front
16138	nois ddoongr	nói đổng	呐？	Throw out innuendoes
16139	nois dduaf	nói đùa	呐？	to joke
16140	nois docs	nói dóc	呐？	Boast, brag
16141	nois doois	nói dối	呐？	to lie; to tell lies
16142	nois gaaux	nói gẫu	呐？	Chat [away]
16143	nois gatj	nói gạt	呐？	Mislead (by lying)
16144	nois gieeux	nói giễu	呐？	Mock, jeer at, make fun of
16145	nois giownx	nói giỡn	呐？	như nói bông
16146	nois giumf	nói giùm	呐？	to intercede, to speak on behalf of
16147	nois gowr	nói gở	呐？	Speak ominously
16148	nois hooj	nói hộ	呐？	như
16149	nois hows	nói hớ	呐？	Blunder out
16150	nois howts	nói hớt	呐？	Tell tales
16151	nois khos	nói khó	呐𧁷	Expatiate (elaborate) on one's diffculties
16152	nois laamf	nói lầm	呐？	cũng nói nói mhầm Speak by mistake
16153	nois laf	nói là	呐𪜀	Reportedly, supposedly
16154	nois lais	nói lái	呐？	to use slang when speaking
16155	nois langr	nói lảng	呐？	Shift over to another subject, change subjects
16156	nois laos	nói láo	呐？	to lie; to tell a falschool
16157	nois lawps	nói lắp	呐？	to stammer, to stutter
16158	nois lays	nói láy	呐？	Speak back | slang
16159	nois leenz	nói lên	呐𨖲	to voice ; to say, to tell
16160	nois leeus	nói lếu	呐？	Speak saucily
16161	nois lieeuf	nói liều	呐？	to speak rashly
16162	nois longs	nói lóng	呐？	to use slang
16163	nois loois	nói lối	呐？	Speak recitatives
16164	nois lots	nói lót	呐？	Put in a good word (with unfluential people, for someone)
16165	nois luwngr	nói lửng	呐？	nh nói lưỡng
16166	nois luwowngx	nói lưỡng	呐？	cũng nói nói lửng Quibble
16167	nois mats	nói mát	呐？	say a few sweetly ironical words
16168	nois meez	nói mê	呐迷	Speak in one's sleep | Rave in delirium
16169	nois meps	nói mép	呐？	Be smooth | tongued. Chỉ hay nói mép,
16170	nois miar	nói mỉa	呐？	Ironize
16171	nois mof	nói mò	呐？	Guess
16172	nois nawngz	nói năng	呐？	to speak
16173	nois phachs	nói phách	呐？	Boast, rant
